dates,var_loading,res_loading,presolve,total,opt_val,bound_val
13,0.05271316766738891,0.8132689674695333,2.2845,8.343060914675394,104.0,104.0
12,0.018447446823120116,0.5172217806180318,3.0768333333333335,6.1275591651598615,96.0,96.0
11,0.007178898652394613,0.36508429845174156,0.8935,1.9038203835487366,88.0,88.0
10,0.003944953282674153,0.32854888439178465,0.191,0.8582972486813863,80.0,80.0
9,0.0011309027671813966,0.22811371485392254,0.08066666666666666,0.41465391715367633,72.0,72.0
8,0.0007487376530965169,0.17763198216756185,0.04083333333333334,0.2792589028676351,64.0,64.0
