dates,var_loading,res_loading,presolve,total
11,0.009102916717529297,0.37700976530710856,0.3265,3.4061333854993183
10,0.0025691986083984375,0.3072258114814758,0.129,0.9818334658940633
9,0.0012603362401326498,0.2414811650911967,0.07466666666666667,0.405217977364858
8,0.0006925702095031738,0.18412405252456665,0.036333333333333336,0.2727257013320923
7,0.0005580306053161622,0.13794662952423095,0.034,0.1956641674041748
6,0.00042340358098347984,0.11729518572489421,0.018500000000000003,0.14965956608454387
